ID,DateTime,TempF,Location,,,,
1,11/2/2016 10:00,50.047,Dry Creek #1,,,,
2,11/2/2016 10:15,50.311,Dry Creek #1,,,,
3,11/2/2016 10:30,50.533,Dry Creek #1,,,,
4,11/2/2016 10:45,50.664,Dry Creek #1,,,,
5,11/2/2016 11:00,50.841,Dry Creek #1,,,,
6,11/2/2016 11:15,51.017,Dry Creek #1,,,,
7,11/2/2016 11:30,51.37,Dry Creek #1,,,,
8,11/2/2016 11:45,52.203,Dry Creek #1,,,,
9,11/2/2016 12:00,53.078,Dry Creek #1,,,,
10,11/2/2016 12:15,54.3,Dry Creek #1,,,,
11,11/2/2016 12:30,54.82,Dry Creek #1,,,,
12,11/2/2016 12:45,55.386,Dry Creek #1,,,,
13,11/2/2016 13:00,55.949,Dry Creek #1,,,,
14,11/2/2016 13:15,56.599,Dry Creek #1,,,,
15,11/2/2016 13:30,57.031,Dry Creek #1,,,,
16,11/2/2016 13:45,57.549,Dry Creek #1,,,,
17,11/2/2016 14:00,57.549,Dry Creek #1,,,,
18,11/2/2016 14:15,57.936,Dry Creek #1,,,,
19,11/2/2016 14:30,58.325,Dry Creek #1,,,,
20,11/2/2016 14:45,58.626,Dry Creek #1,,,,
21,11/2/2016 15:00,58.798,Dry Creek #1,,,,
22,11/2/2016 15:15,58.885,Dry Creek #1,,,,
23,11/2/2016 15:30,58.842,Dry Creek #1,,,,
24,11/2/2016 15:45,58.712,Dry Creek #1,,,,
25,11/2/2016 16:00,58.582,Dry Creek #1,,,,
26,11/2/2016 16:15,58.325,Dry Creek #1,,,,
27,11/2/2016 16:30,58.023,Dry Creek #1,,,,
28,11/2/2016 16:45,57.636,Dry Creek #1,,,,
29,11/2/2016 17:00,57.16,Dry Creek #1,,,,
30,11/2/2016 17:15,56.642,Dry Creek #1,,,,
31,11/2/2016 17:30,56.165,Dry Creek #1,,,,
32,11/2/2016 17:45,55.733,Dry Creek #1,,,,
33,11/2/2016 18:00,55.299,Dry Creek #1,,,,
34,11/2/2016 18:15,54.82,Dry Creek #1,,,,
35,11/2/2016 18:30,54.343,Dry Creek #1,,,,
36,11/2/2016 18:45,53.865,Dry Creek #1,,,,
37,11/2/2016 19:00,53.341,Dry Creek #1,,,,
38,11/2/2016 19:15,52.903,Dry Creek #1,,,,
39,11/2/2016 19:30,52.554,Dry Creek #1,,,,
40,11/2/2016 19:45,52.246,Dry Creek #1,,,,
41,11/2/2016 20:00,51.984,Dry Creek #1,,,,
42,11/2/2016 20:15,51.764,Dry Creek #1,,,,
43,11/2/2016 20:30,51.544,Dry Creek #1,,,,
44,11/2/2016 20:45,51.413,Dry Creek #1,,,,
45,11/2/2016 21:00,51.237,Dry Creek #1,,,,
46,11/2/2016 21:15,51.105,Dry Creek #1,,,,
47,11/2/2016 21:30,50.929,Dry Creek #1,,,,
48,11/2/2016 21:45,50.797,Dry Creek #1,,,,
49,11/2/2016 22:00,50.709,Dry Creek #1,,,,
50,11/2/2016 22:15,50.576,Dry Creek #1,,,,
51,11/2/2016 22:30,50.488,Dry Creek #1,,,,
52,11/2/2016 22:45,50.4,Dry Creek #1,,,,
53,11/2/2016 23:00,50.268,Dry Creek #1,,,,
54,11/2/2016 23:15,50.18,Dry Creek #1,,,,
55,11/2/2016 23:30,50.002,Dry Creek #1,,,,
56,11/2/2016 23:45,49.87,Dry Creek #1,,,,
57,11/3/2016 0:00,49.782,Dry Creek #1,,,,
58,11/3/2016 0:15,49.649,Dry Creek #1,,,,
59,11/3/2016 0:30,49.516,Dry Creek #1,,,,
60,11/3/2016 0:45,49.338,Dry Creek #1,,,,
61,11/3/2016 1:00,49.116,Dry Creek #1,,,,
62,11/3/2016 1:15,48.983,Dry Creek #1,,,,
63,11/3/2016 1:30,48.805,Dry Creek #1,,,,
64,11/3/2016 1:45,48.628,Dry Creek #1,,,,
65,11/3/2016 2:00,48.493,Dry Creek #1,,,,
66,11/3/2016 2:15,48.36,Dry Creek #1,,,,
67,11/3/2016 2:30,48.272,Dry Creek #1,,,,
68,11/3/2016 2:45,48.182,Dry Creek #1,,,,
69,11/3/2016 3:00,48.094,Dry Creek #1,,,,
70,11/3/2016 3:15,47.914,Dry Creek #1,,,,
71,11/3/2016 3:30,47.826,Dry Creek #1,,,,
72,11/3/2016 3:45,47.736,Dry Creek #1,,,,
73,11/3/2016 4:00,47.647,Dry Creek #1,,,,
74,11/3/2016 4:15,47.512,Dry Creek #1,,,,
75,11/3/2016 4:30,47.422,Dry Creek #1,,,,
76,11/3/2016 4:45,47.289,Dry Creek #1,,,,
77,11/3/2016 5:00,47.199,Dry Creek #1,,,,
78,11/3/2016 5:15,47.154,Dry Creek #1,,,,
79,11/3/2016 5:30,47.019,Dry Creek #1,,,,
80,11/3/2016 5:45,46.931,Dry Creek #1,,,,
